
nov. 14, 2018 09:41:25.90 [7948:8036:1114/094125.903:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:41:41.47 [7948:8036:1114/094141.474:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:41:44.76 [7948:8036:1114/094144.768:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:41:48.01 [7948:8036:1114/094148.011:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:03.58 [7948:8036:1114/094203.582:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:06.87 [7948:8036:1114/094206.876:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:10.20 [7948:8036:1114/094210.205:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:25.69 [7948:8036:1114/094225.691:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:31.39 [7948:8036:1114/094231.394:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:32.34 [7948:8036:1114/094232.347:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:47.83 [7948:8036:1114/094247.834:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:42:53.53 [7948:8036:1114/094253.536:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
